pitch_mean,pitch_std,pitch_range,pitch_median,pitch_coeff_var,pitch_25th,pitch_75th,pitch_high_count,pitch_low_count,pitch_variance,voiced_ratio,pitch_jitter,volume_mean,volume_std,volume_max,volume_min,dynamic_range,volume_mean_db,volume_std_db,volume_median,volume_25th,volume_75th,energy_variation,shimmer,high_energy_frames,peak_energy_frames,power_mean,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zcr_mean,zcr_std,spectral_flatness_mean,spectral_flatness_std,spectral_centroid_max,spectral_centroid_min,spectral_centroid_median,spectral_centroid_iqr,rolloff_centroid_ratio,bandwidth_centroid_ratio,zcr_frequency,spectral_variability,spectral_centroid_variation,spectral_rolloff_variation,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_delta,mfcc_1_delta,mfcc_2_delta,mfcc_3_delta,mfcc_4_delta,mfcc_5_delta,mfcc_6_delta,mfcc_7_delta,mfcc_8_delta,mfcc_9_delta,mfcc_10_delta,mfcc_11_delta,mfcc_12_delta,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,tempo_bpm,rhythm_regularity,num_beats,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,mel_0,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,harmonic_energy,percussive_energy,hpr_ratio,harmonic_variability,percussive_variability,harmonic_ratio,split,dialogue_id,utterance_id,speaker,emotion,sentiment,utterance_text,season,episode,audio_path
484.70157,468.99445,3093.5007,329.71106,0.96759427,234.30424,528.25336,57.0,124.0,219955.8,22.625,169.98364,0.021210989,0.027678007,0.11961163,0.0,0.11961163,-34.605293,29.454266,0.007989112,0.0,0.032787323,0.0035791066,1.30489,80.0,25.0,0.0012159782,1689.7932,1287.6946,3290.3699,2371.2441,1434.6005,949.2331,0.13272107,0.12594584,0.33857974,0.41734827,5616.6733,0.0,1824.9277,2396.2117,1.4292332,0.65384,1061.7686,0.9305911,217.91562,296.15625,-372.8113,45.47068,-1.4553218,6.6600604,1.7904326,-6.212562,-8.086442,-5.2677727,-7.789145,2.2208023,-2.9615176,-0.4238792,-2.22645,-1.3487272,-0.16500121,-0.03793253,-0.11203949,-0.027758462,0.0047300686,0.040559646,-0.009324271,0.05472287,0.033752084,0.01293676,0.028280538,-0.0020606176,0.28853533,0.2595263,0.22228266,0.2911359,0.3363905,0.31020832,0.26099366,0.2832988,0.30483887,0.3646526,0.33368352,0.2626296,156.25,0.073029675,14.0,-0.028097635,0.0011084704,-0.011913976,0.023988966,0.012039439,0.007657168,0.69539535,0.8218375,0.9613003,0.23838836,0.1866737,0.32163173,0.25125054,0.1253058,0.04433558,0.01736035,0.0030507606,0.0049183355,0.011064511,16.549545,17.402187,18.603212,17.365208,17.94637,19.0259,19.855335,0.009879543,0.01367683,0.7223557,0.013222672,0.021059,0.22406532,train,619,2,Janice,neutral,neutral,"Can I just say, I really admire what youre doing. Just raising her all alone.",8,24,./train/dia619_utt2.wav
860.03876,1167.6101,3835.637,323.4261,1.357625,196.83371,814.8598,19.0,57.0,1363313.4,9.5,462.65182,0.0077170376,0.014376081,0.057701297,0.0,0.057701297,-55.523525,30.38415,0.0,0.0,0.0073654493,0.0013616199,1.8629014,63.0,25.0,0.00026622438,656.0629,1136.4785,1185.4146,1956.6632,525.4693,818.24396,0.049588755,0.0966728,0.7187908,0.4321744,4762.6074,0.0,0.0,1323.7743,0.5714216,0.27875003,396.71002,0.8829749,125.25422,180.15625,-589.23016,20.05926,-1.5315186,5.9502606,-1.3453684,0.80578405,-0.57274073,3.5107818,0.73099035,-0.028611476,-2.45364,-1.2860563,-0.7522955,-1.4350083,-0.3349016,-0.06734872,-0.11049939,-0.015330698,0.10536232,0.0135403555,-0.10543735,0.018670931,0.02103605,0.016958628,0.001981079,0.026601106,0.12543532,0.13347487,0.11534161,0.09841441,0.11228361,0.12488662,0.15468237,0.12558162,0.12736347,0.14925411,0.1598378,0.134576,110.29412,0.025102185,5.0,-0.02733662,0.015113113,-0.010902117,0.01841013,0.0074009723,0.035999827,0.17738369,0.0957722,0.14151692,0.1175092,0.06842367,0.03476371,0.039794933,0.016042242,0.006820558,0.010979071,0.01929448,0.005807307,0.0013528059,16.776436,16.480711,17.008713,16.993876,16.982098,16.563211,16.659372,0.002823721,0.0059078266,0.47796193,0.006011355,0.0111623965,0.16570337,train,320,9,Chandler,neutral,neutral,"Look, things like last night they dont just happen.",6,16,./train/dia320_utt9.wav
397.4888,195.46062,776.64185,367.5276,0.49173868,202.4642,524.1413,36.0,60.0,38204.85,12.0,81.23943,0.014699014,0.023031129,0.07221771,0.0,0.07221771,-50.68141,34.003548,0.0,0.0,0.02579242,0.0017976303,1.5668485,73.0,25.0,0.0007464938,605.1734,825.62213,1259.8357,1792.7007,643.163,844.9578,0.03739534,0.053841107,0.6271761,0.47420377,3364.6272,0.0,0.0,1347.7941,0.7778607,0.42306426,299.16272,1.0086476,89.91945,230.875,-511.11252,36.67873,-4.355382,2.2926283,-2.354091,-1.2444493,-6.41426,1.5595849,-3.1764336,-3.9930928,-3.5072777,-3.1311672,-2.1054764,-1.7004745,-0.523525,0.28777486,-0.026048843,0.13667457,0.010687414,0.032175526,0.06841705,-0.032410376,-0.087949805,-0.010747546,0.02049029,0.058401804,0.08559314,0.07689658,0.1021964,0.14420684,0.14854693,0.15091693,0.17213064,0.15045449,0.11692446,0.10700128,0.10147699,0.08793735,98.68421,0.025253814,4.0,0.0052073672,0.008623832,0.010974855,0.021431224,-0.00319369,0.013181622,0.8824087,0.9991121,0.36166066,0.14111915,0.07254574,0.031390507,0.029327057,0.008850516,0.0050200713,0.0016399967,0.0020619407,0.0010639703,0.00037322167,20.095583,19.566278,19.78475,19.360384,19.420185,19.456146,18.419657,0.008642127,0.007600405,1.1370599,0.016049797,0.013902715,0.4449997,train,919,0,Ross,surprise,negative,Damn! I thought that was going to be romantic as hell!,4,19,./train/dia919_utt0.wav
497.97784,414.88092,2060.4836,406.15787,0.83313125,258.55182,582.5758,20.0,29.0,172126.19,6.125,177.287,0.0034036164,0.008357671,0.039628025,0.0,0.039628025,-59.86976,24.84232,0.0,0.0,0.0,0.0008100238,2.4555268,42.0,25.0,8.143529e-05,364.4708,802.3229,678.50476,1509.9404,320.15375,683.8721,0.027186178,0.0654657,0.8121781,0.38251275,4328.847,0.0,0.0,0.0,0.3641307,0.1795519,217.48941,0.7598096,71.12052,137.03125,-685.992,17.507753,-3.5464578,2.76554,-1.880876,-1.9248846,-2.0453882,0.13659701,-0.8638809,-1.5014174,-0.42967433,-0.7977461,-1.2753788,-1.236056,-0.26638976,-0.15838109,-0.06770205,0.0108712865,-0.040983886,0.06347508,0.022441719,0.015931757,-0.013309989,0.04528308,-0.023424163,-0.017167505,0.08714963,0.098961435,0.07939294,0.06175861,0.046666585,0.06324619,0.064750165,0.0702142,0.07632476,0.07270116,0.06001307,0.06768492,133.92857,0.037037037,3.0,-0.01014989,0.05390253,-0.07003478,0.05428058,0.015669385,0.01668097,0.03243211,0.06465916,0.049161695,0.027897453,0.01021525,0.01105586,0.0141711375,0.021645911,0.0066973777,0.00049467705,0.00031248672,9.928316e-05,7.2672505e-05,17.806707,18.127066,18.611988,18.448978,18.65621,18.659317,18.030146,0.0011417897,0.0025899226,0.4408569,0.0029831585,0.0067414194,0.12531954,train,281,9,Phoebe,neutral,neutral,Im wearing his briefs right now.,7,22,./train/dia281_utt9.wav
361.6091,156.05164,617.7983,311.78058,0.43154788,247.14781,368.8009,10.0,28.0,24352.111,4.75,121.700775,0.0035760556,0.010367749,0.04562358,0.0,0.04562358,-63.71684,23.08109,0.0,0.0,0.0,0.00081212365,2.8992136,33.0,25.0,0.0001202784,215.20178,543.40735,408.3043,1065.6022,228.55011,552.1338,0.01347345,0.03456193,0.8560247,0.3466069,3325.3083,0.0,0.0,0.0,0.2807311,0.1667938,107.7876,0.6768298,49.23989,117.25,-685.17914,16.559929,-1.6300259,-0.5526735,-4.9340935,-0.61177945,-3.042673,-0.5567774,-0.7238365,-1.0629841,-2.4018896,-1.8527311,-1.7546215,-1.307692,-0.44235662,-0.112595774,0.03734398,0.1537813,0.008764411,0.0162968,0.012855111,-0.004849694,0.018355113,0.03792248,-0.0014351734,0.09862747,0.049786095,0.057606757,0.07323574,0.07689904,0.09734939,0.08744598,0.0701323,0.06616503,0.05413515,0.05427325,0.05313515,0.056774266,170.45454,0.0,3.0,-0.015636655,0.030149486,-0.021198347,0.02547506,0.012231511,0.022194467,0.1214766,0.1330366,0.094626464,0.061093062,0.010053353,0.0044046375,0.003040886,0.00043964662,0.00033839975,0.00021992656,0.00027719687,6.4111046e-05,2.3346152e-05,12.010241,11.819954,11.771652,12.041341,11.936576,12.139471,11.895065,0.0016830806,0.0023513786,0.71578157,0.0055394764,0.0066730306,0.27867913,train,3,1,Chandler,surprise,negative,"What, what, what?!",3,12,./train/dia3_utt1.wav
421.1869,494.92715,3808.5415,310.95566,1.1750773,260.46622,384.42816,28.0,90.0,244952.89,14.75,142.99072,0.0087885475,0.011352179,0.04152422,0.0,0.04152422,-42.152515,32.236225,0.0,0.0,0.016404226,0.001305212,1.2917013,104.0,25.0,0.00020611052,935.44696,1055.4121,1909.1447,2090.0913,843.265,909.41595,0.06474687,0.08195759,0.5540899,0.4751212,4455.0854,0.0,0.0,1848.6764,0.9761305,0.43720877,517.975,1.0454533,116.155815,171.3125,-523.46124,35.18526,-4.758546,16.03868,-6.610479,3.0464523,-4.983203,-3.4068303,-1.9230089,-4.3665247,-1.126234,-3.526708,-1.1240449,-1.9007639,-0.14316791,-0.039093997,-0.038848028,0.07466319,0.017332304,0.1205863,-0.033622354,0.0013948434,-0.037100565,0.036899347,0.014880465,-0.060223542,0.119509906,0.13346927,0.20675479,0.21993469,0.18461397,0.19899264,0.20875229,0.17997818,0.14228246,0.17486894,0.18647961,0.1427915,187.5,0.10308122,9.0,-0.009045143,0.00061618455,-0.017651843,-0.0011925572,-0.0035663645,0.009157643,0.2200611,0.19788548,0.08589367,0.059271522,0.025917908,0.025871396,0.019603664,0.0067303684,0.0063428166,0.0041768053,0.003172377,0.00067658635,0.00023058202,16.275896,14.651779,15.145288,14.345831,14.568424,16.029007,14.235098,0.005128053,0.004537306,1.1301953,0.0068771,0.00759128,0.3570429,train,640,14,Joanna,neutral,neutral,"And Rachel shouldnt have any problem with that. The only problem might be getting a little too friendly, if you know what I mean.",4,9,./train/dia640_utt14.wav
611.62744,559.86896,3842.8044,414.4989,0.91537577,345.60074,645.8495,65.0,186.0,313453.25,31.375,202.60129,0.08010435,0.02586686,0.11850544,0.0048265737,0.113678865,-4.270978,4.8469796,0.085138425,0.065020174,0.101080015,0.010370877,0.32291454,144.0,25.0,0.0070858006,1763.4989,675.6986,3294.3228,1276.8627,1525.9152,379.89093,0.1446188,0.07865127,0.035339605,0.07105837,4741.406,919.08044,1580.7743,469.15277,1.8656479,0.9091816,1156.9503,0.240133,264.31204,547.6875,-150.01585,88.643105,-32.34135,12.023679,-14.559374,2.1658196,-17.479713,-9.154563,-10.996462,-4.795139,-1.5780499,0.6424121,-6.312541,0.33561194,-0.2198379,-0.077432714,-0.015637638,0.1276875,0.09755362,-0.033555027,-0.02206228,0.11361906,0.045992635,-0.086102195,-0.0032369369,-0.0043511637,0.31724787,0.3423951,0.34321776,0.34609064,0.425249,0.5503345,0.4650537,0.37624463,0.3668722,0.35414988,0.29761627,0.24391067,110.29412,0.07235169,12.0,-0.003136011,0.01786759,-0.04158493,0.026422907,-0.011587852,-0.0021636537,3.3634388,8.262028,3.863504,1.8243636,1.9939904,1.8890413,0.86752087,0.32176167,0.16436493,0.09933304,0.059549373,0.023391457,0.012267558,17.329933,18.124477,19.934097,17.579088,20.081223,21.881207,21.009687,0.046783794,0.042142566,1.1101313,0.02223483,0.01995105,0.37886646,train,38,6,Ross,anger,negative,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",8,2,./train/dia38_utt6.wav
633.45776,803.4859,3426.4124,383.62378,1.2684127,327.1413,537.7158,10.0,60.0,645589.56,8.75,250.08896,0.0072572995,0.014413688,0.054480184,0.0,0.054480184,-56.501522,29.655243,0.0,0.0,0.0044685695,0.0012092537,1.9860953,57.0,25.0,0.0002604228,563.5554,1028.915,1123.5371,1965.7942,484.08624,797.667,0.04382081,0.09168333,0.73262805,0.4308507,4530.4297,0.0,0.0,1107.223,0.5677321,0.2637496,350.5665,0.93647754,85.26192,134.5,-591.10236,21.12347,-0.85582256,3.7435527,-1.6101409,-0.72533506,-8.729885,0.50789154,-4.1080575,-4.2597346,0.91526246,-1.633301,-3.2467766,-1.4707994,-0.38255382,0.14027438,-0.060244285,0.07258228,0.008810948,0.0129038105,0.07412071,-0.046890434,-0.055100005,0.06382015,0.014357704,0.012753327,0.06799085,0.08541272,0.07994467,0.096315704,0.10615616,0.12617444,0.12034273,0.1428091,0.104128376,0.09684877,0.08059159,0.046556756,156.25,0.032786883,6.0,0.009922258,0.022815304,-0.022202658,0.0351975,0.0046942676,0.017434414,0.23275535,0.38105795,0.07801553,0.024407055,0.030756498,0.029354597,0.008080961,0.015855564,0.008244294,0.0063850633,0.0035749874,0.0024331724,0.0018554465,21.473251,20.072693,20.836761,20.57162,21.967216,20.999489,19.680399,0.0037560535,0.0043148594,0.8704907,0.009138181,0.0095135365,0.37489796,train,168,5,Ross,neutral,neutral,"No,",5,24,./train/dia168_utt5.wav
524.08905,491.38235,3794.818,436.9397,0.9375932,300.62048,568.27496,34.0,60.0,241456.61,11.75,174.20993,0.009757711,0.01610603,0.050041344,0.0,0.050041344,-50.03897,31.734928,0.0,0.0,0.019690476,0.0018427665,1.6505952,71.0,25.0,0.00035461714,716.5398,1074.8975,1377.8324,2032.7892,654.8325,886.8393,0.05064702,0.0838058,0.6468885,0.45927426,5136.9526,0.0,0.0,1495.7195,0.7155647,0.37745544,405.17618,0.94819015,150.95412,245.46875,-552.41437,31.375277,-2.0131657,5.7570753,-1.3077213,-2.5154123,-7.5013323,-2.6155908,-1.3054401,-3.7776098,-4.65098,-1.2857809,-4.0617185,-1.111943,-0.35564458,-0.001880965,-0.06730604,0.0062576006,0.030160418,0.05387676,0.06899431,-0.033301946,0.088693865,0.052520305,-0.0143419225,0.040169265,0.13353804,0.1362047,0.14687012,0.13380681,0.12764154,0.14980292,0.13157547,0.13431145,0.15616068,0.18697986,0.16431896,0.11811012,187.5,0.089034475,9.0,-0.001655852,0.033146694,-0.031020388,0.029920192,0.003424266,0.009137964,0.29803467,0.47267893,0.21313679,0.10263986,0.04389057,0.02665288,0.021851797,0.007607958,0.0035176324,0.0024136282,0.0017991187,0.0026206614,0.0016615596,16.295801,14.738554,15.887689,15.205948,15.616362,15.982368,15.124407,0.0044544656,0.006435099,0.69221294,0.009122989,0.011420242,0.29066375,train,887,0,Ross,neutral,neutral,Yes thats right.,6,17,./train/dia887_utt0.wav
560.157,426.59772,2708.281,420.62067,0.7615681,325.7481,672.2859,34.0,54.0,181985.61,11.0,215.05772,0.007658245,0.011605969,0.0384887,0.0,0.0384887,-48.684612,31.486725,0.0,0.0,0.016680265,0.0013350386,1.5154867,81.0,25.0,0.00019334721,603.6914,847.8544,1039.436,1493.4628,490.29883,697.1801,0.04686333,0.06944312,0.6551169,0.46965727,2858.3047,0.0,0.0,1551.9025,0.6034045,0.29145712,374.90662,0.83648473,83.548225,159.84375,-589.22705,31.853455,-15.348614,12.296611,-4.39176,-4.4467244,-2.575852,-1.5194427,-1.9859128,-3.5671957,0.672194,-4.914757,-0.26596615,-1.172871,-0.29208568,-0.2312705,-0.14779696,0.035760917,-0.02031053,0.053847726,0.00081991294,-0.035724837,0.0121723395,0.028550725,0.0200422,-0.01852702,0.09384669,0.08106006,0.117916696,0.12063719,0.1507459,0.13339907,0.08707036,0.09069397,0.103765674,0.086433016,0.10696039,0.11375494,187.5,0.08212608,8.0,0.007893206,0.036782887,-0.062468283,0.038162887,0.0016193078,-0.0077416804,0.05747207,0.13310862,0.11487885,0.069615155,0.05255033,0.036667757,0.039512064,0.03627488,0.019123403,0.003672414,0.0005456989,0.0001026049,2.3669085e-05,17.669058,18.561016,20.12795,19.875818,19.622738,20.203701,18.011353,0.0027736926,0.0057049254,0.48619175,0.0043904455,0.009309728,0.13951105,train,992,3,Phoebe,joy,positive,Good. Oh oh! Roger's having a dinner thing and he wanted me to invite you guys.,1,13,./train/dia992_utt3.wav
